"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 10 05:51:56 GMT 2025","Sun Aug 10 05:51:57 GMT 2025","577","","Manage customers list","","Sort customers by PostCode ascending","","Sort customers by PostCode ascending",""
"passed","Sun Aug 10 05:51:57 GMT 2025","Sun Aug 10 05:51:58 GMT 2025","462","","Manage customers list","","Sort customers by PostCode descending","","Sort customers by PostCode descending",""
"passed","Sun Aug 10 05:51:58 GMT 2025","Sun Aug 10 05:52:03 GMT 2025","5389","","Manage customers list","","Delete a specific customer by first name","","Delete a specific customer by first name",""
"passed","Sun Aug 10 05:52:03 GMT 2025","Sun Aug 10 05:52:09 GMT 2025","6208","","Customer deposits money","","Deposit money successfully","","Deposit money successfully",""
"passed","Sun Aug 10 05:51:56 GMT 2025","Sun Aug 10 05:51:56 GMT 2025","470","","Manage customers list","","Search existing customer by first name","","Search existing customer by first name",""
"passed","Sun Aug 10 05:52:15 GMT 2025","Sun Aug 10 05:52:16 GMT 2025","314","","Login to XYZ Bank application","","Login as Customer","","Login as Customer",""
"passed","Sun Aug 10 05:51:55 GMT 2025","Sun Aug 10 05:51:56 GMT 2025","607","","Add new customer","","Add customer successfully","","Add customer successfully",""
"passed","Sun Aug 10 05:52:15 GMT 2025","Sun Aug 10 05:52:15 GMT 2025","193","","Login to XYZ Bank application","","Login as Bank Manager","","Login as Bank Manager",""
"passed","Sun Aug 10 05:52:17 GMT 2025","Sun Aug 10 05:52:17 GMT 2025","494","","Open a new account","","Manager opens an account for an existing customer","","Manager opens an account for an existing customer",""
"passed","Sun Aug 10 05:52:09 GMT 2025","Sun Aug 10 05:52:15 GMT 2025","5960","","Customer deposits money","","Deposit money successfully","","Deposit money successfully",""
"passed","Sun Aug 10 05:51:53 GMT 2025","Sun Aug 10 05:51:55 GMT 2025","2234","","Add new customer","","Add customer successfully","","Add customer successfully",""
"passed","Sun Aug 10 05:52:16 GMT 2025","Sun Aug 10 05:52:17 GMT 2025","610","","Open a new account","","Manager opens an account for an existing customer","","Manager opens an account for an existing customer",""
"passed","Sun Aug 10 05:52:16 GMT 2025","Sun Aug 10 05:52:16 GMT 2025","295","","Login to XYZ Bank application","","Login as Customer","","Login as Customer",""
